name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
Eberechi Eze,2,0,20,6,19,0,0,1,2.4285714285714284,0,60.0,3.0,-0.4285714285714284,1,2,2,2,True,2
Jordan Henderson,2,0,20,11,17,0,0,1,1.4285714285714286,0,55.0,2.0,0.5714285714285714,0,2,2,2,False,2
Miguel Almirón,9,0,20,14,10,0,0,1,3.2857142857142856,0,60.0,3.0,5.714285714285714,2,2,2,2,True,9
Jordan Ayew,4,0,20,6,19,1,0,0,1.8571428571428572,2,60.0,2.0,2.142857142857143,1,2,2,2,True,4
Serge Aurier,1,1,20,17,11,0,0,0,0.5714285714285714,1,55.0,1.0,0.4285714285714286,0,2,2,2,True,1
Antonio Rüdiger,7,1,20,5,20,0,0,0,3.0,1,50.0,3.0,4.0,2,0,0,0,True,7
James Maddison,2,0,20,10,7,0,0,1,4.571428571428571,0,70.0,3.0,-2.571428571428571,1,1,1,1,False,2
Reece James,0,1,20,5,20,0,0,0,2.0,1,50.0,2.0,-2.0,2,0,0,0,True,0
Mateusz Klich,1,0,20,9,14,0,0,1,2.5714285714285716,0,55.0,3.0,-1.5714285714285716,2,1,1,1,False,1
Granit Xhaka,5,0,20,1,16,0,0,1,2.142857142857143,0,55.0,2.0,2.857142857142857,3,1,1,1,False,5
Emiliano Martínez,1,0,20,2,4,0,1,0,4.857142857142857,3,45.0,3.0,-3.8571428571428568,2,0,0,0,False,1
Michail Antonio,5,0,20,19,6,1,0,0,2.7142857142857144,2,65.0,3.0,2.2857142857142856,3,1,1,1,False,5
Rui Pedro dos Santos Patrício,9,0,20,20,5,0,1,0,3.5714285714285716,3,55.0,3.0,5.428571428571429,0,2,2,2,False,9
Jarrod Bowen,5,0,20,19,6,0,0,1,5.428571428571429,0,65.0,3.0,-0.4285714285714288,3,1,1,1,False,5
Matt Phillips,1,0,20,18,12,0,0,1,1.2857142857142858,0,55.0,2.0,-0.2857142857142858,0,3,3,3,True,1
Timothy Castagne,2,1,20,10,7,0,0,0,2.142857142857143,1,55.0,2.0,-0.1428571428571428,1,1,1,1,False,2
Kasper Schmeichel,2,0,20,10,7,0,1,0,1.7142857142857142,3,55.0,2.0,0.2857142857142858,1,1,1,1,False,2
Stuart Armstrong,8,0,20,16,1,0,0,1,4.428571428571429,0,55.0,3.0,3.571428571428571,0,1,1,1,True,8
Oliver Norwood,2,0,20,15,13,0,0,1,1.4285714285714286,0,50.0,2.0,0.5714285714285714,0,3,3,3,False,2
James Justin,1,1,20,10,7,0,0,0,0.7142857142857143,1,45.0,1.0,0.2857142857142857,1,1,1,1,False,1
Jan Bednarek,1,1,20,16,1,0,0,0,1.8571428571428572,1,45.0,2.0,-0.8571428571428572,0,1,1,1,True,1
Federico Fernández,0,1,20,14,10,0,0,0,1.2857142857142858,1,50.0,2.0,-1.2857142857142858,2,2,2,2,True,0
Liam Cooper,2,1,20,9,14,0,0,0,1.7142857142857142,1,45.0,2.0,0.2857142857142858,2,1,1,1,False,2
Wilfred Ndidi,1,0,20,10,7,0,0,1,1.7142857142857142,0,50.0,2.0,-0.7142857142857142,1,1,1,1,False,1
